  Standard Error= .345357E-02
  Parameter 1= .673421E+04
  Parameter 2= .614526E+03
  Parameter 3= .138855E-03
  Parameter 4= .693110E+03
  Parameter 5= .123704E+00
  Parameter 6= .336921E+03
  Parameter 7= .333697E+03
  Parameter 8= .330788E+03
  Parameter 9= .328350E+03
  Parameter10= .326612E+03
   .324009E+03   .618000E+03   .697660E+03
   .324041E+03   .600000E+03   .696808E+03
   .324072E+03   .601000E+03   .696977E+03
   .324103E+03   .571000E+03   .697906E+03
   .324135E+03   .640000E+03   .700263E+03
   .324166E+03   .595000E+03   .701183E+03
   .324197E+03   .592000E+03   .700493E+03
   .324229E+03   .633000E+03   .701957E+03
   .324260E+03   .610000E+03   .710822E+03
   .324291E+03   .577000E+03   .716848E+03
   .324323E+03   .595000E+03   .712958E+03
   .324354E+03   .619000E+03   .724587E+03
   .324385E+03   .624000E+03   .733641E+03
   .324417E+03   .635000E+03   .733658E+03
   .324448E+03   .656000E+03   .744107E+03
   .324480E+03   .705000E+03   .746944E+03
   .324511E+03   .659000E+03   .750071E+03
   .324542E+03   .640000E+03   .748275E+03
   .324574E+03   .637000E+03   .756176E+03
   .324605E+03   .666000E+03   .756632E+03
   .324636E+03   .696000E+03   .760890E+03
   .324668E+03   .699000E+03   .768322E+03
   .324699E+03   .714000E+03   .767069E+03
   .324730E+03   .736000E+03   .771555E+03
   .324762E+03   .707000E+03   .775716E+03
   .324793E+03   .727000E+03   .789068E+03
   .324824E+03   .699000E+03   .779359E+03
   .324856E+03   .713000E+03   .787537E+03
   .324887E+03   .715000E+03   .804489E+03
   .324918E+03   .744000E+03   .791284E+03
   .324950E+03   .752000E+03   .800646E+03
   .324981E+03   .714000E+03   .813014E+03
   .325012E+03   .752000E+03   .838209E+03
   .325044E+03   .787000E+03   .803016E+03
   .325075E+03   .775000E+03   .812907E+03
   .325106E+03   .777000E+03   .866239E+03
   .325138E+03   .768000E+03   .824175E+03
   .325169E+03   .752000E+03   .846443E+03
   .325201E+03   .794000E+03   .877831E+03
   .325232E+03   .832000E+03   .844179E+03
   .325263E+03   .817000E+03   .858845E+03
   .325295E+03   .832000E+03   .894094E+03
   .325326E+03   .817000E+03   .893734E+03
   .325357E+03   .833000E+03   .875690E+03
   .325389E+03   .869000E+03   .903373E+03
   .325420E+03   .866000E+03   .920776E+03
   .325451E+03   .835000E+03   .910604E+03
   .325483E+03   .848000E+03   .952018E+03
   .325514E+03   .896000E+03   .937626E+03
   .325545E+03   .929000E+03   .933246E+03
   .325577E+03   .929000E+03   .987004E+03
   .325608E+03   .904000E+03   .970593E+03
   .325639E+03   .949000E+03   .100192E+04
   .325671E+03   .100000E+04   .977876E+03
   .325702E+03   .962000E+03   .988980E+03
   .325733E+03   .103500E+04   .106922E+04
   .325765E+03   .920000E+03   .986620E+03
   .325796E+03   .102700E+04   .106813E+04
   .325827E+03   .985000E+03   .102764E+04
   .325859E+03   .101900E+04   .103502E+04
   .325890E+03   .103300E+04   .116327E+04
   .325921E+03   .104300E+04   .100948E+04
   .325953E+03   .108800E+04   .117690E+04
   .325984E+03   .984000E+03   .104653E+04
   .326015E+03   .110400E+04   .114042E+04
   .326047E+03   .100800E+04   .114587E+04
   .326078E+03   .110700E+04   .111108E+04
   .326109E+03   .113600E+04   .118633E+04
   .326141E+03   .108800E+04   .115190E+04
   .326172E+03   .117300E+04   .122598E+04
   .326203E+03   .107400E+04   .121029E+04
   .326234E+03   .115200E+04   .124773E+04
   .326266E+03   .115400E+04   .125141E+04
   .326297E+03   .121100E+04   .130883E+04
   .326328E+03   .124000E+04   .128330E+04
   .326360E+03   .123300E+04   .126477E+04
   .326391E+03   .118400E+04   .134121E+04
   .326422E+03   .123200E+04   .130095E+04
   .326454E+03   .123200E+04   .132822E+04
   .326485E+03   .125100E+04   .130979E+04
   .326516E+03   .128000E+04   .135854E+04
   .326548E+03   .136100E+04   .139843E+04
   .326579E+03   .151500E+04   .150004E+04
   .326610E+03   .167400E+04   .167669E+04
   .326642E+03   .202500E+04   .191148E+04
   .326673E+03   .234300E+04   .230002E+04
   .326704E+03   .299200E+04   .278931E+04
   .326736E+03   .288000E+04   .295658E+04
   .326767E+03   .297600E+04   .259620E+04
   .326798E+03   .256200E+04   .236347E+04
   .326830E+03   .214400E+04   .206002E+04
   .326861E+03   .143300E+04   .156076E+04
   .326892E+03   .100900E+04   .113507E+04
   .326924E+03   .891000E+03   .102263E+04
   .326955E+03   .861000E+03   .100837E+04
   .326986E+03   .789000E+03   .934469E+03
   .327018E+03   .809000E+03   .938316E+03
   .327049E+03   .760000E+03   .100166E+04
   .327080E+03   .760000E+03   .920191E+03
   .327111E+03   .664000E+03   .942016E+03
   .327143E+03   .705000E+03   .994879E+03
   .327174E+03   .733000E+03   .955469E+03
   .327205E+03   .776000E+03   .958013E+03
   .327237E+03   .832000E+03   .997060E+03
   .327268E+03   .811000E+03   .995468E+03
   .327299E+03   .832000E+03   .973101E+03
   .327331E+03   .937000E+03   .102667E+04
   .327362E+03   .898000E+03   .103268E+04
   .327393E+03   .976000E+03   .101025E+04
   .327425E+03   .976000E+03   .106986E+04
   .327456E+03   .955000E+03   .104731E+04
   .327487E+03   .102700E+04   .106529E+04
   .327518E+03   .100900E+04   .109976E+04
   .327550E+03   .107500E+04   .107805E+04
   .327581E+03   .108300E+04   .114346E+04
   .327612E+03   .108100E+04   .107540E+04
   .327644E+03   .120400E+04   .114575E+04
   .327675E+03   .103200E+04   .116481E+04
   .327706E+03   .113900E+04   .112019E+04
   .327738E+03   .108900E+04   .126812E+04
   .327769E+03   .115500E+04   .109520E+04
   .327800E+03   .124900E+04   .129535E+04
   .327832E+03   .118900E+04   .116382E+04
   .327863E+03   .126900E+04   .124972E+04
   .327894E+03   .118900E+04   .125500E+04
   .327925E+03   .126900E+04   .123246E+04
   .327957E+03   .128800E+04   .132050E+04
   .327988E+03   .137600E+04   .126860E+04
   .328019E+03   .131200E+04   .134640E+04
   .328051E+03   .133900E+04   .128789E+04
   .328082E+03   .138200E+04   .135314E+04
   .328113E+03   .133100E+04   .131466E+04
   .328145E+03   .143500E+04   .135248E+04
