  Standard Error= .652926E-02
  Parameter 1= .653430E+04
  Parameter 2= .515771E+03
  Parameter 3= .120402E-03
  Parameter 4= .756393E+03
  Parameter 5= .101695E+00
  Parameter 6= .336921E+03
  Parameter 7= .333709E+03
  Parameter 8= .330787E+03
  Parameter 9= .328348E+03
  Parameter10= .326612E+03
   .324009E+03   .618000E+03   .768404E+03
   .324041E+03   .600000E+03   .765105E+03
   .324072E+03   .601000E+03   .769939E+03
   .324103E+03   .571000E+03   .770790E+03
   .324135E+03   .640000E+03   .771265E+03
   .324166E+03   .595000E+03   .768770E+03
   .324197E+03   .592000E+03   .773236E+03
   .324229E+03   .633000E+03   .773975E+03
   .324260E+03   .610000E+03   .775078E+03
   .324291E+03   .577000E+03   .773544E+03
   .324323E+03   .595000E+03   .778612E+03
   .324354E+03   .619000E+03   .778101E+03
   .324385E+03   .624000E+03   .779630E+03
   .324417E+03   .635000E+03   .779316E+03
   .324448E+03   .656000E+03   .786373E+03
   .324480E+03   .705000E+03   .783799E+03
   .324511E+03   .659000E+03   .785048E+03
   .324542E+03   .640000E+03   .786784E+03
   .324574E+03   .637000E+03   .793974E+03
   .324605E+03   .666000E+03   .792733E+03
   .324636E+03   .696000E+03   .793027E+03
   .324668E+03   .699000E+03   .798182E+03
   .324699E+03   .714000E+03   .796682E+03
   .324730E+03   .736000E+03   .803728E+03
   .324762E+03   .707000E+03   .808024E+03
   .324793E+03   .727000E+03   .815618E+03
   .324824E+03   .699000E+03   .802968E+03
   .324856E+03   .713000E+03   .810388E+03
   .324887E+03   .715000E+03   .829144E+03
   .324918E+03   .744000E+03   .817372E+03
   .324950E+03   .752000E+03   .825071E+03
   .324981E+03   .714000E+03   .831318E+03
   .325012E+03   .752000E+03   .849150E+03
   .325044E+03   .787000E+03   .824244E+03
   .325075E+03   .775000E+03   .839014E+03
   .325106E+03   .777000E+03   .878179E+03
   .325138E+03   .768000E+03   .834299E+03
   .325169E+03   .752000E+03   .861538E+03
   .325201E+03   .794000E+03   .886283E+03
   .325232E+03   .832000E+03   .858459E+03
   .325263E+03   .817000E+03   .879993E+03
   .325295E+03   .832000E+03   .892863E+03
   .325326E+03   .817000E+03   .891191E+03
   .325357E+03   .833000E+03   .897533E+03
   .325389E+03   .869000E+03   .912658E+03
   .325420E+03   .866000E+03   .922679E+03
   .325451E+03   .835000E+03   .923541E+03
   .325483E+03   .848000E+03   .945894E+03
   .325514E+03   .896000E+03   .948216E+03
   .325545E+03   .929000E+03   .957724E+03
   .325577E+03   .929000E+03   .983696E+03
   .325608E+03   .904000E+03   .978837E+03
   .325639E+03   .949000E+03   .100481E+04
   .325671E+03   .100000E+04   .991776E+03
   .325702E+03   .962000E+03   .102018E+04
   .325733E+03   .103500E+04   .107162E+04
   .325765E+03   .920000E+03   .101004E+04
   .325796E+03   .102700E+04   .108727E+04
   .325827E+03   .985000E+03   .106407E+04
   .325859E+03   .101900E+04   .106152E+04
   .325890E+03   .103300E+04   .120125E+04
   .325921E+03   .104300E+04   .107005E+04
   .325953E+03   .108800E+04   .123643E+04
   .325984E+03   .984000E+03   .113244E+04
   .326015E+03   .110400E+04   .119589E+04
   .326047E+03   .100800E+04   .124871E+04
   .326078E+03   .110700E+04   .118615E+04
   .326109E+03   .113600E+04   .132301E+04
   .326141E+03   .108800E+04   .124324E+04
   .326172E+03   .117300E+04   .133624E+04
   .326203E+03   .107400E+04   .130899E+04
   .326234E+03   .115200E+04   .132640E+04
   .326266E+03   .115400E+04   .136134E+04
   .326297E+03   .121100E+04   .141011E+04
   .326328E+03   .124000E+04   .137390E+04
   .326360E+03   .123300E+04   .139598E+04
   .326391E+03   .118400E+04   .149191E+04
   .326422E+03   .123200E+04   .143000E+04
   .326454E+03   .123200E+04   .146973E+04
   .326485E+03   .125100E+04   .145659E+04
   .326516E+03   .128000E+04   .150946E+04
   .326548E+03   .136100E+04   .154189E+04
   .326579E+03   .151500E+04   .159204E+04
   .326610E+03   .167400E+04   .159716E+04
   .326642E+03   .202500E+04   .169867E+04
   .326673E+03   .234300E+04   .201437E+04
   .326704E+03   .299200E+04   .253801E+04
   .326736E+03   .288000E+04   .275748E+04
   .326767E+03   .297600E+04   .238689E+04
   .326798E+03   .256200E+04   .220150E+04
   .326830E+03   .214400E+04   .195194E+04
   .326861E+03   .143300E+04   .148244E+04
   .326892E+03   .100900E+04   .110025E+04
   .326924E+03   .891000E+03   .102183E+04
